# seed=20260723022 wall_start=2026-07-31 15:20:48 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.100,-0.000,-0.000,0.0,-4.097,-8.370,5.238,-3.045,8.299,6.130
0.200,-0.000,-0.000,0.0,-4.010,-8.370,5.163,-3.087,8.225,6.093
0.300,-0.000,-0.000,0.0,-3.923,-8.370,5.088,-3.130,8.152,6.057
0.400,-0.000,-0.000,0.0,-3.836,-8.370,5.013,-3.172,8.078,6.020
0.500,-0.000,-0.000,0.0,-3.749,-8.370,4.938,-3.214,8.005,5.984
0.600,-0.000,-0.000,0.0,-3.662,-8.370,4.863,-3.256,7.931,5.948
0.700,-0.000,-0.000,0.0,-3.575,-8.370,4.788,-3.299,7.858,5.911
0.800,-0.000,-0.000,0.0,-3.488,-8.370,4.713,-3.341,7.784,5.875
0.900,-0.000,-0.000,0.0,-3.401,-8.370,4.638,-3.383,7.711,5.838
1.000,-0.000,-0.000,0.0,-3.314,-8.370,4.563,-3.425,7.637,5.802
1.100,-0.000,-0.000,0.0,-3.227,-8.370,4.488,-3.468,7.564,5.766
1.200,-0.000,-0.000,0.0,-3.140,-8.370,4.413,-3.510,7.491,5.729
1.300,-0.000,-0.000,0.0,-3.053,-8.370,4.339,-3.552,7.417,5.693
1.400,-0.000,-0.000,0.0,-2.966,-8.370,4.264,-3.594,7.344,5.656
1.500,-0.000,-0.000,0.0,-2.879,-8.370,4.189,-3.636,7.270,5.620
1.600,-0.000,-0.000,0.0,-2.792,-8.370,4.114,-3.679,7.197,5.584
1.700,-0.000,-0.000,0.0,-2.705,-8.370,4.039,-3.721,7.123,5.547
1.800,-0.000,-0.000,0.0,-2.618,-8.370,3.964,-3.763,7.050,5.511
1.900,-0.000,-0.000,0.0,-2.531,-8.370,3.889,-3.805,6.976,5.474
2.000,-0.000,-0.000,0.0,-2.444,-8.370,3.814,-3.848,6.903,5.438
2.100,-0.000,-0.000,0.0,-2.357,-8.370,3.739,-3.890,6.829,5.402
2.200,-0.000,-0.000,0.0,-2.270,-8.370,3.664,-3.932,6.756,5.365
2.300,-0.000,-0.000,0.0,-2.183,-8.370,3.589,-3.974,6.682,5.329
2.400,-0.000,-0.000,0.0,-2.096,-8.370,3.514,-4.017,6.609,5.292
2.500,-0.000,-0.000,0.0,-2.009,-8.370,3.440,-4.059,6.535,5.256
2.600,-0.000,-0.000,0.0,-1.922,-8.370,3.365,-4.101,6.462,5.220
2.700,-0.000,-0.000,0.0,-1.835,-8.370,3.299,-4.123,6.388,5.183
2.800,-0.000,-0.000,0.0,-1.748,-8.370,3.213,-4.124,6.315,5.147
2.900,-0.000,-0.000,0.0,-1.661,-8.370,3.127,-4.126,6.241,5.110
3.000,-0.000,-0.000,0.0,-1.574,-8.370,3.041,-4.128,6.168,5.074
3.100,-0.000,-0.000,0.0,-1.487,-8.370,2.955,-4.130,6.094,5.038
3.200,-0.000,-0.000,0.0,-1.400,-8.370,2.869,-4.131,6.021,5.001
3.300,-0.000,-0.000,0.0,-1.386,-8.370,2.783,-4.133,5.947,4.965
3.400,-0.000,-0.000,0.0,-1.386,-8.370,2.697,-4.135,5.874,4.928
3.500,-0.000,-0.000,0.0,-1.386,-8.370,2.611,-4.137,5.801,4.892
3.600,-0.000,-0.000,0.0,-1.386,-8.370,2.525,-4.138,5.727,4.856
3.700,-0.000,-0.000,0.0,-1.386,-8.370,2.439,-4.140,5.654,4.819
3.800,-0.000,-0.000,0.0,-1.386,-8.370,2.353,-4.142,5.580,4.783
3.900,-0.000,-0.000,0.0,-1.386,-8.370,2.267,-4.144,5.507,4.746
4.000,-0.000,-0.000,0.0,-1.386,-8.370,2.181,-4.145,5.433,4.710
