# seed=20260723002 wall_start=2026-07-30 12:41:41 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.033,-0.000,-0.000,0.0,6.456,-4.011,1.131,8.299,7.385,8.277
0.133,-0.000,-0.000,0.0,6.432,-3.899,1.018,8.296,7.416,8.198
0.233,-0.000,-0.000,0.0,6.408,-3.786,0.905,8.292,7.447,8.119
0.333,-0.000,-0.000,0.0,6.384,-3.674,0.792,8.288,7.479,8.040
0.433,-0.000,-0.000,0.0,6.360,-3.561,0.679,8.284,7.510,7.960
0.533,-0.000,-0.000,0.0,6.336,-3.449,0.566,8.281,7.541,7.881
0.633,-0.000,-0.000,0.0,6.312,-3.337,0.454,8.277,7.572,7.802
0.733,-0.000,-0.000,0.0,6.288,-3.224,0.341,8.273,7.603,7.723
0.833,-0.000,-0.000,0.0,6.264,-3.112,0.228,8.269,7.634,7.644
0.933,-0.000,-0.000,0.0,6.240,-2.999,0.115,8.266,7.665,7.565
1.033,-0.000,-0.000,0.0,6.216,-2.887,0.002,8.262,7.696,7.486
1.133,-0.000,-0.000,0.0,6.192,-2.774,-0.111,8.258,7.727,7.407
1.233,-0.000,-0.000,0.0,6.167,-2.662,-0.224,8.255,7.759,7.328
1.333,-0.000,-0.000,0.0,6.143,-2.549,-0.337,8.251,7.790,7.248
1.433,-0.000,-0.000,0.0,6.119,-2.437,-0.450,8.247,7.821,7.169
1.533,-0.000,-0.000,0.0,6.095,-2.324,-0.563,8.243,7.852,7.090
1.633,-0.000,-0.000,0.0,6.071,-2.212,-0.676,8.240,7.883,7.011
1.733,-0.000,-0.000,0.0,6.047,-2.099,-0.789,8.236,7.914,6.932
1.833,-0.000,-0.000,0.0,6.023,-1.987,-0.902,8.232,7.945,6.853
1.933,-0.000,-0.000,0.0,5.999,-1.875,-1.015,8.228,7.976,6.774
2.033,-0.000,-0.000,0.0,5.975,-1.762,-1.128,8.225,8.007,6.695
2.133,-0.000,-0.000,0.0,5.951,-1.650,-1.241,8.221,8.039,6.616
2.233,-0.000,-0.000,0.0,5.927,-1.537,-1.353,8.217,8.070,6.537
2.333,-0.000,-0.000,0.0,5.903,-1.425,-1.466,8.213,8.101,6.457
2.433,-0.000,-0.000,0.0,5.879,-1.312,-1.504,8.212,8.132,6.378
2.533,-0.000,-0.000,0.0,5.855,-1.200,-1.504,8.212,8.163,6.299
2.633,-0.000,-0.000,0.0,5.831,-1.087,-1.504,8.212,8.194,6.220
2.733,-0.000,-0.000,0.0,5.807,-0.975,-1.504,8.212,8.225,6.141
2.833,-0.000,-0.000,0.0,5.783,-0.862,-1.504,8.212,8.256,6.062
2.933,-0.000,-0.000,0.0,5.759,-0.750,-1.504,8.212,8.287,5.983
3.033,-0.000,-0.000,0.0,5.735,-0.637,-1.504,8.212,8.318,5.904
3.133,-0.000,-0.000,0.0,5.711,-0.525,-1.504,8.212,8.350,5.825
3.233,-0.000,-0.000,0.0,5.687,-0.413,-1.504,8.212,8.381,5.746
3.333,-0.000,-0.000,0.0,5.663,-0.300,-1.504,8.212,8.412,5.666
3.433,-0.000,-0.000,0.0,5.639,-0.188,-1.504,8.212,8.443,5.587
3.533,-0.000,-0.000,0.0,5.615,-0.075,-1.504,8.212,8.474,5.508
3.633,-0.000,-0.000,0.0,5.590,0.037,-1.504,8.212,8.505,5.429
3.733,-0.000,-0.000,0.0,5.566,0.150,-1.504,8.212,8.536,5.350
3.833,-0.000,-0.000,0.0,5.542,0.262,-1.504,8.212,8.567,5.271
3.933,-0.000,-0.000,0.0,5.518,0.375,-1.504,8.212,8.598,5.192
4.033,-0.000,-0.000,0.0,5.494,0.487,-1.504,8.212,8.630,5.113
4.133,-0.000,-0.000,0.0,5.470,0.600,-1.504,8.212,8.645,5.073
4.233,-0.000,-0.000,0.0,5.446,0.712,-1.504,8.212,8.645,5.073
4.333,-0.000,-0.000,0.0,5.422,0.824,-1.504,8.212,8.645,5.073
4.433,-0.000,-0.000,0.0,5.398,0.937,-1.504,8.212,8.645,5.073
4.533,-0.000,-0.000,0.0,5.374,1.049,-1.504,8.212,8.645,5.073
4.633,-0.000,-0.000,0.0,5.350,1.162,-1.504,8.212,8.645,5.073
4.733,-0.000,-0.000,0.0,5.326,1.274,-1.504,8.212,8.645,5.073
4.833,-0.000,-0.000,0.0,5.302,1.387,-1.504,8.212,8.645,5.073
4.933,-0.000,-0.000,0.0,5.278,1.499,-1.504,8.212,8.645,5.073
5.033,-0.000,-0.000,0.0,5.228,1.557,-1.504,8.212,8.645,5.073
5.133,-0.000,-0.000,0.0,5.113,1.562,-1.504,8.212,8.645,5.073
