# seed=20260723025 wall_start=2026-07-27 13:24:15 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,2.798,-0.843,8.409,8.459,-7.640,2.936
0.167,-0.000,-0.000,0.0,2.735,-0.808,8.327,8.456,-7.581,2.867
0.267,-0.000,-0.000,0.0,2.672,-0.773,8.245,8.453,-7.522,2.798
0.367,-0.000,-0.000,0.0,2.609,-0.739,8.163,8.451,-7.462,2.729
0.467,-0.000,-0.000,0.0,2.546,-0.704,8.081,8.448,-7.403,2.660
0.567,-0.000,-0.000,0.0,2.483,-0.670,7.999,8.445,-7.344,2.591
0.667,-0.000,-0.000,0.0,2.420,-0.635,7.917,8.443,-7.284,2.522
0.767,-0.000,-0.000,0.0,2.357,-0.600,7.835,8.440,-7.225,2.453
0.867,-0.000,-0.000,0.0,2.293,-0.566,7.753,8.437,-7.166,2.384
0.967,-0.000,-0.000,0.0,2.230,-0.531,7.671,8.435,-7.106,2.315
1.067,-0.000,-0.000,0.0,2.167,-0.496,7.589,8.432,-7.047,2.246
1.167,-0.000,-0.000,0.0,2.104,-0.462,7.507,8.429,-6.988,2.177
1.267,-0.000,-0.000,0.0,2.041,-0.427,7.426,8.427,-6.928,2.108
1.367,-0.000,-0.000,0.0,1.978,-0.392,7.344,8.424,-6.869,2.039
1.467,-0.000,-0.000,0.0,1.915,-0.358,7.262,8.421,-6.809,1.970
1.567,-0.000,-0.000,0.0,1.852,-0.323,7.180,8.419,-6.750,1.901
1.667,-0.000,-0.000,0.0,1.788,-0.289,7.098,8.416,-6.691,1.832
1.767,-0.000,-0.000,0.0,1.725,-0.254,7.016,8.413,-6.631,1.763
1.867,-0.000,-0.000,0.0,1.662,-0.219,6.934,8.411,-6.572,1.694
1.967,-0.000,-0.000,0.0,1.599,-0.185,6.852,8.408,-6.513,1.625
2.067,-0.000,-0.000,0.0,1.536,-0.150,6.770,8.405,-6.453,1.556
2.167,-0.000,-0.000,0.0,1.473,-0.115,6.688,8.403,-6.394,1.487
2.267,-0.000,-0.000,0.0,1.410,-0.081,6.606,8.400,-6.335,1.418
2.367,-0.000,-0.000,0.0,1.347,-0.046,6.524,8.397,-6.275,1.349
2.467,-0.000,-0.000,0.0,1.283,-0.012,6.442,8.395,-6.216,1.280
2.567,-0.000,-0.000,0.0,1.220,0.023,6.360,8.392,-6.157,1.211
2.667,-0.000,-0.000,0.0,1.157,0.058,6.278,8.389,-6.097,1.142
2.767,-0.000,-0.000,0.0,1.094,0.092,6.196,8.387,-6.038,1.073
2.867,-0.000,-0.000,0.0,1.031,0.127,6.114,8.384,-5.979,1.004
2.967,-0.000,-0.000,0.0,0.968,0.162,6.032,8.381,-5.919,0.935
3.067,-0.000,-0.000,0.0,0.905,0.196,5.950,8.379,-5.860,0.866
3.167,-0.000,-0.000,0.0,0.842,0.231,5.868,8.376,-5.801,0.797
3.267,-0.000,-0.000,0.0,0.778,0.266,5.786,8.373,-5.751,0.739
3.367,-0.000,-0.000,0.0,0.715,0.300,5.704,8.371,-5.751,0.739
3.467,-0.000,-0.000,0.0,0.652,0.335,5.622,8.368,-5.751,0.739
3.567,-0.000,-0.000,0.0,0.589,0.369,5.541,8.365,-5.751,0.739
3.667,-0.000,-0.000,0.0,0.526,0.404,5.459,8.363,-5.751,0.739
3.767,-0.000,-0.000,0.0,0.463,0.439,5.390,8.362,-5.751,0.739
3.867,-0.000,-0.000,0.0,0.400,0.473,5.308,8.362,-5.751,0.739
3.967,-0.000,-0.000,0.0,0.337,0.508,5.226,8.362,-5.751,0.739
4.067,-0.000,-0.000,0.0,0.273,0.543,5.144,8.362,-5.751,0.739
4.167,-0.000,-0.000,0.0,0.210,0.577,5.062,8.362,-5.751,0.739
4.267,-0.000,-0.000,0.0,0.147,0.612,4.980,8.362,-5.751,0.739
4.367,-0.000,-0.000,0.0,0.084,0.647,4.898,8.362,-5.751,0.739
4.467,-0.000,-0.000,0.0,0.021,0.681,4.816,8.362,-5.751,0.739
4.567,-0.000,-0.000,0.0,-0.042,0.716,4.734,8.362,-5.751,0.739
4.667,-0.000,-0.000,0.0,-0.105,0.750,4.652,8.361,-5.751,0.739
4.767,-0.000,-0.000,0.0,-0.168,0.785,4.570,8.361,-5.751,0.739
4.867,-0.000,-0.000,0.0,-0.231,0.820,4.488,8.361,-5.751,0.739
4.967,-0.000,-0.000,0.0,-0.295,0.854,4.406,8.361,-5.751,0.739
5.067,-0.000,-0.000,0.0,-0.358,0.889,4.324,8.361,-5.751,0.739
5.167,-0.000,-0.000,0.0,-0.421,0.924,4.242,8.361,-5.751,0.739
5.267,-0.000,-0.000,0.0,-0.484,0.958,4.160,8.361,-5.751,0.739
5.367,-0.000,-0.000,0.0,-0.547,0.993,4.078,8.361,-5.751,0.739
5.467,-0.000,-0.000,0.0,-0.610,1.027,3.996,8.361,-5.751,0.739
5.567,-0.000,-0.000,0.0,-0.673,1.062,3.914,8.360,-5.751,0.739
5.667,-0.000,-0.000,0.0,-0.736,1.097,3.832,8.360,-5.751,0.739
5.767,-0.000,-0.000,0.0,-0.800,1.131,3.750,8.360,-5.751,0.739
5.867,-0.000,-0.000,0.0,-0.810,1.137,3.668,8.360,-5.751,0.739
5.967,-0.000,-0.000,0.0,-0.810,1.137,3.619,8.319,-5.751,0.739
6.067,-0.000,-0.000,0.0,-0.810,1.137,3.566,8.256,-5.751,0.739
6.167,-0.000,-0.000,0.0,-0.810,1.137,3.512,8.194,-5.751,0.739
6.267,-0.000,-0.000,0.0,-0.810,1.137,3.459,8.132,-5.751,0.739
6.367,-0.000,-0.000,0.0,-0.810,1.137,3.406,8.069,-5.683,0.679
6.467,-0.000,-0.000,0.0,-0.810,1.137,3.353,8.007,-5.615,0.619
6.567,-0.000,-0.000,0.0,-0.810,1.137,3.299,7.945,-5.547,0.558
6.667,-0.000,-0.000,0.0,-0.810,1.137,3.246,7.882,-5.479,0.498
6.767,-0.000,-0.000,0.0,-0.810,1.137,3.193,7.820,-5.411,0.437
6.867,-0.000,-0.000,0.0,-0.810,1.137,3.140,7.758,-5.343,0.377
6.967,-0.000,-0.000,0.0,-0.810,1.137,3.086,7.695,-5.275,0.317
7.067,-0.000,-0.000,0.0,-0.810,1.137,3.033,7.633,-5.207,0.256
7.167,-0.000,-0.000,0.0,-0.810,1.137,2.980,7.571,-5.139,0.196
7.267,-0.000,-0.000,0.0,-0.810,1.137,2.926,7.508,-5.071,0.135
7.367,-0.000,-0.000,0.0,-0.810,1.137,2.873,7.446,-5.003,0.075
7.467,-0.000,-0.000,0.0,-0.810,1.137,2.820,7.384,-4.935,0.014
7.567,-0.000,-0.000,0.0,-0.810,1.137,2.767,7.321,-4.866,-0.046
7.667,-0.000,-0.000,0.0,-0.810,1.137,2.713,7.259,-4.798,-0.106
7.767,-0.000,-0.000,0.0,-0.810,1.137,2.660,7.197,-4.730,-0.167
7.867,-0.000,-0.000,0.0,-0.810,1.137,2.607,7.134,-4.662,-0.227
7.967,-0.000,-0.000,0.0,-0.810,1.137,2.553,7.072,-4.594,-0.288
8.067,-0.000,-0.000,0.0,-0.810,1.137,2.500,7.010,-4.526,-0.348
8.167,-0.000,-0.000,0.0,-0.810,1.137,2.447,6.947,-4.458,-0.408
8.267,-0.000,-0.000,0.0,-0.810,1.137,2.394,6.885,-4.390,-0.469
8.367,-0.000,-0.000,0.0,-0.810,1.137,2.340,6.823,-4.322,-0.529
8.467,-0.000,-0.000,0.0,-0.810,1.137,2.287,6.760,-4.254,-0.590
8.567,-0.000,-0.000,0.0,-0.810,1.137,2.234,6.698,-4.186,-0.650
8.667,-0.000,-0.000,0.0,-0.810,1.137,2.180,6.636,-4.118,-0.711
8.767,-0.000,-0.000,0.0,-0.810,1.137,2.136,6.584,-4.050,-0.771
8.867,-0.000,-0.000,0.0,-0.769,1.113,2.136,6.584,-3.982,-0.831
8.967,-0.000,-0.000,0.0,-0.707,1.076,2.136,6.584,-3.914,-0.892
9.067,-0.000,-0.000,0.0,-0.645,1.039,2.136,6.584,-3.846,-0.952
9.167,-0.000,-0.000,0.0,-0.583,1.002,2.136,6.584,-3.778,-1.013
9.267,-0.000,-0.000,0.0,-0.521,0.966,2.136,6.584,-3.710,-1.073
9.367,-0.000,-0.000,0.0,-0.459,0.929,2.136,6.584,-3.642,-1.133
9.467,-0.000,-0.000,0.0,-0.397,0.892,2.136,6.584,-3.573,-1.194
9.567,-0.000,-0.000,0.0,-0.335,0.856,2.136,6.584,-3.505,-1.254
9.667,-0.000,-0.000,0.0,-0.273,0.819,2.136,6.584,-3.437,-1.315
9.767,-0.000,-0.000,0.0,-0.211,0.782,2.136,6.584,-3.381,-1.365
9.867,-0.000,-0.000,0.0,-0.150,0.745,2.136,6.584,-3.381,-1.365
9.967,-0.000,-0.000,0.0,-0.088,0.709,2.136,6.584,-3.381,-1.365
10.067,-0.000,-0.000,0.0,-0.026,0.672,2.136,6.584,-3.381,-1.365
10.167,-0.000,-0.000,0.0,0.036,0.635,2.136,6.584,-3.381,-1.365
10.267,-0.000,-0.000,0.0,0.098,0.598,2.136,6.584,-3.381,-1.365
10.367,-0.000,-0.000,0.0,0.160,0.562,2.136,6.584,-3.381,-1.365
10.467,-0.000,-0.000,0.0,0.222,0.525,2.136,6.584,-3.381,-1.365
10.567,-0.000,-0.000,0.0,0.284,0.488,2.136,6.584,-3.381,-1.365
10.667,-0.000,-0.000,0.0,0.346,0.452,2.136,6.584,-3.381,-1.365
10.767,-0.000,-0.000,0.0,0.408,0.415,2.136,6.584,-3.381,-1.365
10.867,-0.000,-0.000,0.0,0.470,0.378,2.136,6.584,-3.381,-1.365
10.967,-0.000,-0.000,0.0,0.532,0.341,2.136,6.584,-3.381,-1.365
11.067,-0.000,-0.000,0.0,0.594,0.305,2.136,6.584,-3.381,-1.365
11.167,-0.000,-0.000,0.0,0.655,0.268,2.136,6.584,-3.381,-1.365
11.267,-0.000,-0.000,0.0,0.717,0.231,2.136,6.584,-3.381,-1.365
11.367,-0.000,-0.000,0.0,0.779,0.194,2.136,6.584,-3.381,-1.365
11.467,-0.000,-0.000,0.0,0.841,0.158,2.136,6.584,-3.381,-1.365
11.567,-0.000,-0.000,0.0,0.903,0.121,2.136,6.584,-3.381,-1.365
11.667,-0.000,-0.000,0.0,0.965,0.084,2.136,6.584,-3.381,-1.365
11.767,-0.000,-0.000,0.0,1.027,0.048,2.136,6.584,-3.381,-1.365
11.867,-0.000,-0.000,0.0,1.089,0.011,2.188,6.647,-3.381,-1.365
11.967,-0.000,-0.000,0.0,1.151,-0.026,2.239,6.711,-3.381,-1.365
12.067,-0.000,-0.000,0.0,1.213,-0.063,2.291,6.775,-3.381,-1.365
12.167,-0.000,-0.000,0.0,1.275,-0.099,2.343,6.838,-3.381,-1.365
12.267,-0.000,-0.000,0.0,1.337,-0.136,2.395,6.902,-3.381,-1.365
12.367,-0.000,-0.000,0.0,1.399,-0.173,2.446,6.966,-3.381,-1.365
12.467,-0.000,-0.000,0.0,1.461,-0.210,2.498,7.029,-3.381,-1.365
12.567,-0.000,-0.000,0.0,1.522,-0.246,2.550,7.093,-3.381,-1.365
12.667,-0.000,-0.000,0.0,1.584,-0.283,2.602,7.156,-3.381,-1.365
12.767,-0.000,-0.000,0.0,1.646,-0.320,2.653,7.220,-3.381,-1.365
12.867,-0.000,-0.000,0.0,1.708,-0.356,2.705,7.284,-3.445,-1.300
12.967,-0.000,-0.000,0.0,1.770,-0.393,2.757,7.347,-3.509,-1.236
