# seed=20260723009 wall_start=2026-07-31 12:31:26 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.033,-0.000,-0.000,0.0,8.475,-6.957,-7.691,7.858,-2.167,-2.885
0.133,-0.000,-0.000,0.0,8.387,-6.940,-7.580,7.848,-2.088,-2.798
0.233,-0.000,-0.000,0.0,8.299,-6.923,-7.468,7.838,-2.008,-2.711
0.333,-0.000,-0.000,0.0,8.210,-6.906,-7.357,7.827,-1.929,-2.623
0.433,-0.000,-0.000,0.0,8.122,-6.889,-7.245,7.817,-1.850,-2.536
0.533,-0.000,-0.000,0.0,8.033,-6.872,-7.134,7.807,-1.770,-2.448
0.633,-0.000,-0.000,0.0,7.945,-6.855,-7.022,7.797,-1.691,-2.361
0.733,-0.000,-0.000,0.0,7.857,-6.838,-6.911,7.786,-1.612,-2.274
0.833,-0.000,-0.000,0.0,7.768,-6.821,-6.799,7.776,-1.533,-2.186
0.933,-0.000,-0.000,0.0,7.680,-6.804,-6.688,7.766,-1.453,-2.099
1.033,-0.000,-0.000,0.0,7.592,-6.787,-6.576,7.755,-1.374,-2.011
1.133,-0.000,-0.000,0.0,7.503,-6.770,-6.465,7.745,-1.295,-1.924
1.233,-0.000,-0.000,0.0,7.415,-6.753,-6.353,7.735,-1.215,-1.837
1.333,-0.000,-0.000,0.0,7.326,-6.736,-6.242,7.724,-1.136,-1.749
1.433,-0.000,-0.000,0.0,7.238,-6.719,-6.130,7.714,-1.057,-1.662
1.533,-0.000,-0.000,0.0,7.150,-6.702,-6.019,7.704,-0.978,-1.574
1.633,-0.000,-0.000,0.0,7.061,-6.685,-5.907,7.694,-0.898,-1.487
1.733,-0.000,-0.000,0.0,6.973,-6.668,-5.795,7.683,-0.819,-1.400
1.833,-0.000,-0.000,0.0,6.884,-6.651,-5.684,7.673,-0.740,-1.312
1.933,-0.000,-0.000,0.0,6.796,-6.634,-5.572,7.663,-0.660,-1.225
2.033,-0.000,-0.000,0.0,6.708,-6.617,-5.461,7.652,-0.581,-1.137
2.133,-0.000,-0.000,0.0,6.619,-6.600,-5.349,7.642,-0.502,-1.050
2.233,-0.000,-0.000,0.0,6.531,-6.583,-5.238,7.632,-0.423,-0.963
2.333,-0.000,-0.000,0.0,6.443,-6.566,-5.182,7.627,-0.343,-0.875
2.433,-0.000,-0.000,0.0,6.354,-6.549,-5.182,7.627,-0.264,-0.788
2.533,-0.000,-0.000,0.0,6.266,-6.532,-5.182,7.627,-0.185,-0.700
2.633,-0.000,-0.000,0.0,6.177,-6.515,-5.182,7.627,-0.172,-0.686
2.733,-0.000,-0.000,0.0,6.089,-6.498,-5.182,7.627,-0.172,-0.686
2.833,-0.000,-0.000,0.0,6.001,-6.481,-5.182,7.627,-0.172,-0.686
2.933,-0.000,-0.000,0.0,5.912,-6.464,-5.182,7.627,-0.172,-0.686
3.033,-0.000,-0.000,0.0,5.824,-6.447,-5.182,7.627,-0.172,-0.686
3.133,-0.000,-0.000,0.0,5.736,-6.430,-5.182,7.627,-0.172,-0.686
3.233,-0.000,-0.000,0.0,5.647,-6.413,-5.182,7.627,-0.172,-0.686
3.333,-0.000,-0.000,0.0,5.559,-6.396,-5.182,7.627,-0.172,-0.686
3.433,-0.000,-0.000,0.0,5.470,-6.379,-5.182,7.627,-0.172,-0.686
3.533,-0.000,-0.000,0.0,5.382,-6.362,-5.182,7.627,-0.172,-0.686
3.633,-0.000,-0.000,0.0,5.294,-6.345,-5.182,7.627,-0.172,-0.686
3.733,-0.000,-0.000,0.0,5.205,-6.328,-5.182,7.627,-0.172,-0.686
3.833,-0.000,-0.000,0.0,5.117,-6.311,-5.182,7.627,-0.172,-0.686
3.933,-0.000,-0.000,0.0,5.029,-6.294,-5.182,7.627,-0.172,-0.686
4.033,-0.000,-0.000,0.0,4.940,-6.276,-5.182,7.627,-0.172,-0.686
4.133,-0.000,-0.000,0.0,4.852,-6.259,-5.182,7.627,-0.172,-0.686
4.233,-0.000,-0.000,0.0,4.763,-6.242,-5.182,7.627,-0.172,-0.686
4.333,-0.000,-0.000,0.0,4.675,-6.225,-5.182,7.627,-0.172,-0.686
4.433,-0.000,-0.000,0.0,4.587,-6.208,-5.182,7.627,-0.172,-0.686
4.533,-0.000,-0.000,0.0,4.498,-6.191,-5.182,7.627,-0.172,-0.686
4.633,-0.000,-0.000,0.0,4.410,-6.174,-5.182,7.627,-0.172,-0.686
