# seed=20260723011 wall_start=2026-07-31 12:58:46 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,-6.612,-7.942,7.065,-7.702,7.514,5.406
0.167,-0.000,-0.000,0.0,-6.677,-7.865,6.974,-7.727,7.442,5.318
0.267,-0.000,-0.000,0.0,-6.741,-7.789,6.883,-7.752,7.369,5.230
0.367,-0.000,-0.000,0.0,-6.805,-7.712,6.793,-7.777,7.297,5.141
0.467,-0.000,-0.000,0.0,-6.870,-7.636,6.702,-7.802,7.225,5.053
0.567,-0.000,-0.000,0.0,-6.934,-7.559,6.611,-7.827,7.153,4.965
0.667,-0.000,-0.000,0.0,-6.999,-7.483,6.521,-7.852,7.080,4.877
0.767,-0.000,-0.000,0.0,-7.063,-7.406,6.430,-7.876,7.008,4.789
0.867,-0.000,-0.000,0.0,-7.127,-7.330,6.339,-7.901,6.936,4.701
0.967,-0.000,-0.000,0.0,-7.192,-7.253,6.249,-7.926,6.863,4.612
1.067,-0.000,-0.000,0.0,-7.256,-7.177,6.158,-7.951,6.791,4.524
1.167,-0.000,-0.000,0.0,-7.321,-7.100,6.067,-7.976,6.719,4.436
1.267,-0.000,-0.000,0.0,-7.385,-7.024,5.977,-8.001,6.647,4.348
1.367,-0.000,-0.000,0.0,-7.449,-6.947,5.886,-8.026,6.574,4.260
1.467,-0.000,-0.000,0.0,-7.514,-6.871,5.796,-8.050,6.502,4.172
1.567,-0.000,-0.000,0.0,-7.578,-6.794,5.705,-8.075,6.430,4.083
1.667,-0.000,-0.000,0.0,-7.643,-6.718,5.614,-8.100,6.358,3.995
1.767,-0.000,-0.000,0.0,-7.707,-6.641,5.524,-8.125,6.285,3.907
1.867,-0.000,-0.000,0.0,-7.771,-6.565,5.433,-8.150,6.213,3.819
1.967,-0.000,-0.000,0.0,-7.836,-6.488,5.342,-8.175,6.141,3.731
2.067,-0.000,-0.000,0.0,-7.900,-6.412,5.252,-8.200,6.069,3.643
2.167,-0.000,-0.000,0.0,-7.965,-6.335,5.161,-8.224,6.008,3.569
2.267,-0.000,-0.000,0.0,-8.029,-6.259,5.070,-8.249,6.005,3.455
2.367,-0.000,-0.000,0.0,-8.093,-6.182,4.980,-8.274,6.002,3.341
2.467,-0.000,-0.000,0.0,-8.158,-6.106,4.889,-8.299,5.999,3.227
2.567,-0.000,-0.000,0.0,-8.222,-6.029,4.798,-8.324,5.997,3.113
2.667,-0.000,-0.000,0.0,-8.287,-5.953,4.708,-8.349,5.994,2.999
2.767,-0.000,-0.000,0.0,-8.351,-5.876,4.693,-8.353,5.991,2.885
2.867,-0.000,-0.000,0.0,-8.416,-5.800,4.693,-8.353,5.988,2.771
2.967,-0.000,-0.000,0.0,-8.480,-5.723,4.693,-8.353,5.985,2.657
3.067,-0.000,-0.000,0.0,-8.501,-5.698,4.693,-8.353,5.982,2.543
