# seed=20260723019 wall_start=2026-07-30 16:14:31 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.067,-0.000,-0.000,0.0,-4.323,1.631,-8.395,8.384,-2.733,-1.580
0.167,-0.000,-0.000,0.0,-4.229,1.613,-8.346,8.332,-2.640,-1.599
0.267,-0.000,-0.000,0.0,-4.134,1.595,-8.296,8.280,-2.547,-1.618
0.367,-0.000,-0.000,0.0,-4.040,1.577,-8.246,8.227,-2.454,-1.637
0.467,-0.000,-0.000,0.0,-3.946,1.560,-8.197,8.175,-2.361,-1.656
0.567,-0.000,-0.000,0.0,-3.851,1.542,-8.147,8.123,-2.268,-1.675
0.667,-0.000,-0.000,0.0,-3.757,1.524,-8.098,8.071,-2.175,-1.694
0.767,-0.000,-0.000,0.0,-3.663,1.506,-8.048,8.019,-2.082,-1.714
0.867,-0.000,-0.000,0.0,-3.568,1.488,-7.998,7.966,-1.989,-1.733
0.967,-0.000,-0.000,0.0,-3.474,1.470,-7.949,7.914,-1.896,-1.752
1.067,-0.000,-0.000,0.0,-3.380,1.452,-7.899,7.862,-1.803,-1.771
1.167,-0.000,-0.000,0.0,-3.285,1.434,-7.850,7.810,-1.710,-1.790
1.267,-0.000,-0.000,0.0,-3.191,1.416,-7.800,7.758,-1.617,-1.809
1.367,-0.000,-0.000,0.0,-3.097,1.399,-7.750,7.705,-1.524,-1.828
1.467,-0.000,-0.000,0.0,-3.002,1.381,-7.701,7.653,-1.431,-1.847
1.567,-0.000,-0.000,0.0,-2.908,1.363,-7.651,7.601,-1.338,-1.867
1.667,-0.000,-0.000,0.0,-2.814,1.345,-7.602,7.549,-1.245,-1.886
1.767,-0.000,-0.000,0.0,-2.719,1.327,-7.552,7.497,-1.152,-1.905
1.867,-0.000,-0.000,0.0,-2.625,1.309,-7.502,7.445,-1.059,-1.924
1.967,-0.000,-0.000,0.0,-2.531,1.291,-7.453,7.392,-0.965,-1.943
2.067,-0.000,-0.000,0.0,-2.436,1.273,-7.403,7.340,-0.872,-1.962
2.167,-0.000,-0.000,0.0,-2.342,1.255,-7.354,7.288,-0.779,-1.981
2.267,-0.000,-0.000,0.0,-2.248,1.238,-7.304,7.236,-0.686,-2.001
2.367,-0.000,-0.000,0.0,-2.154,1.220,-7.254,7.184,-0.593,-2.020
2.467,-0.000,-0.000,0.0,-2.059,1.202,-7.205,7.131,-0.500,-2.039
2.567,-0.000,-0.000,0.0,-1.965,1.184,-7.155,7.079,-0.407,-2.058
2.667,-0.000,-0.000,0.0,-1.871,1.166,-7.106,7.027,-0.314,-2.077
